X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.69E+03,4.77E+03,1.18E+03,nan,nan,2.12E+00,8.00E+00,7.00E+00,1.10E+04,1.04E+07,-2.10E+00
2.70E+03,4.75E+03,1.14E+03,nan,nan,1.15E+00,6.00E+00,6.00E+00,2.18E+02,2.05E+06,-2.30E+00
2.71E+03,4.74E+03,1.14E+03,nan,nan,2.12E+00,9.00E+00,9.00E+00,7.40E+01,3.18E+06,-2.00E+00
2.76E+03,4.75E+03,1.18E+03,nan,nan,3.27E+00,1.00E+01,1.00E+01,6.46E+03,2.59E+08,-7.00E-01
2.71E+03,4.74E+03,1.17E+03,nan,nan,2.28E+00,8.00E+00,7.00E+00,1.93E+03,3.53E+07,-1.40E+00
2.57E+03,4.92E+03,1.47E+03,nan,nan,3.48E+00,1.00E+01,1.00E+01,5.13E+04,8.31E+08,-5.00E-01
2.87E+03,4.69E+03,9.76E+02,nan,nan,1.53E+00,1.00E+01,1.00E+01,4.00E+02,1.06E+07,-1.70E+00
2.76E+03,4.76E+03,1.18E+03,nan,nan,1.35E+00,9.00E+00,8.00E+00,1.11E+03,7.37E+06,-2.00E+00
2.76E+03,4.80E+03,1.24E+03,nan,nan,1.13E+00,6.00E+00,6.00E+00,5.50E+03,9.46E+06,-2.00E+00
2.77E+03,4.72E+03,1.13E+03,nan,nan,1.09E+00,8.00E+00,7.00E+00,4.42E+02,5.36E+06,-2.00E+00
2.72E+03,4.77E+03,1.18E+03,nan,nan,3.86E+00,7.00E+00,7.00E+00,1.06E+03,3.39E+06,-2.30E+00
2.55E+03,4.92E+03,1.48E+03,nan,nan,4.73E+00,9.00E+00,9.00E+00,9.73E+04,1.36E+09,-4.00E-01
2.83E+03,4.61E+03,9.91E+02,nan,nan,1.61E+00,8.00E+00,8.00E+00,1.92E+03,1.34E+07,-1.80E+00
2.69E+03,4.80E+03,1.22E+03,nan,nan,1.39E+00,9.00E+00,9.00E+00,2.65E+03,1.03E+07,-1.90E+00
2.76E+03,4.80E+03,1.24E+03,nan,nan,2.17E+00,7.00E+00,7.00E+00,5.81E+03,1.84E+07,-1.80E+00
